id,target,offset,distance,duration,cd,is_character,easing_type
100,2,"2,0,0",2,2,2,1,0
101,2,"-1.7,0,0",0,12,12,0,0
102,1,"0,0,0",0,94,94,0,0
103,0,"0,0,0",0,9,9,0,0
104,2,"-1.3,0,0",0,9,9,0,0
105,1,"0,0,0",0,104,104,0,0
106,0,"0,0,0",0,9,9,0,0
201,1,"0,4.4,0;0,-4,0;0,0.2,0",0,13,13,0,0
202,1,"0,0,0",0,115,115,0,0
203,0,"0,0,0",0,10,10,0,0
204,1,"-2,0,0",0,10,10,0,0
205,1,"0,0,0",0,100,100,0,0
206,0,"0,0,0",0,8,8,0,0
207,3,"-4.7,0.7,0;-4.7,-3.9,0",0,8,8,0,0
208,1,"0,0,0",0,2,2,0,0
209,0,"0,0,0",0,17,17,0,0
210,3,"0.6,-6.8,0;0.6,1.4,0;0.6,-2.6,0",0,2,0,1,0
211,1,"0,0,0",0,26,0,1,0
212,1,"-1.9,0,0",0,2,0,1,0
213,1,"0,0,0",0,7,0,1,0
214,1,"-1.9,0,0",0,2,0,1,0
215,1,"0,0,0",0,14,0,1,0
216,1,"-1.9,0,0",0,2,0,1,0
217,1,"0,0,0",0,13,0,1,0
218,1,"5.4,0,0;5.1,0,0;5.1,0,0",0,6,0,1,0
219,3,"-1,0,0;-1,0,0;-1,0,0",0,7,0,1,0
220,1,"0,0,0",0,140,0,1,0
221,0,"0,0,0",0,13,0,1,0
222,3,"-3.4,0,0;-3.4,0,0;-3.4,0,0",0,7,0,1,0
223,3,"-3.4,-4.2,0;-3.4,-4.2,0;-3.4,-4.2,0",0,7,0,1,0
224,3,"-1,-4.2,0;-1,-4.2,0;-1,-4.2,0",0,7,0,1,0
225,1,"-4,0,0;-4,0,0;-4,0,0",0,4,0,1,0
226,1,"0,0,0",0,47,0,1,0
227,3,"0.6,-6.8,0;0.6,1.4,0;0.6,-2.6,0",0,15,0,1,0
228,1,"3,0,0",0,9,0,1,0
229,1,"0,0,0",0,72,0,1,0
230,3,"0.6,-2.6,0",0,9,0,1,0
231,1,"0,0,0",0,15,0,1,0
232,1,"1,0,0",0,20,0,1,0
233,1,"0,0,0",0,12,0,1,0
234,3,"-3.5,-1.6,0",0,8,8,0,0
235,1,"0,0,0",0,2,2,0,0
236,0,"0,0,0",0,17,17,0,0
301,2,"0,0,0",0,90,2,1,0
302,2,"0,0,0",0,30,30,1,0
303,1,"2,0,0",2,2,60,1,0
304,1,"2,0,0",2,2,60,1,0
305,1,"0,4.2,0",0,80,80,1,0
306,1,"0,-4.2,0",0,80,80,1,0
307,1,"-7.3,0",0,45,45,1,0
308,1,"-2.4,0,0",0,45,45,1,0
309,1,"-2.4,0,0",0,45,45,1,0
310,1,"-2.4,0,0",0,45,45,1,0
311,1,"16,0,0",0,2,0,1,0
312,1,"16,0,0",0,2,0,1,0
401,1,"0,0,0",0,25,25,1,0
402,2,"2.8,0,0",0,21,21,1,0
403,2,"0,0,0",0,20,20,0,0
404,1,"-0.6,0,0",0,6,0,1,0
405,1,"-0.6,0,0",0,6,0,1,0
406,1,"-0.6,0,0",0,5,0,1,0
407,1,"-5.5,0,0",0,12,12,1,0
408,1,"4.5,0,0",0,30,30,1,0
409,2,"2.4,0,0",0,1,18,1,0
410,3,"0,0,0",0,20,18,1,0
411,3,"6.5,1,0",0,20,18,1,0
412,1,"-2.5,0,0",0,40,40,1,0
413,1,"-2.7,0,0",0,8,60,1,0
414,1,"16,0,0",0,2,0,1,0
415,3,"-5.46,-1.8,0.01",0,8,10,1,0
416,3,"-4.46,-6,0.01",0,8,10,1,0
417,3,"-4.26,2.4,0.01",0,8,10,1,0
418,3,"-2.06,-1.8,0.01",0,8,10,1,0
419,3,"-1.06,-1.8,0.01",0,40,45,1,0
420,3,"-1.06,-6,0.01",0,40,45,1,0
421,3,"-1.06,2.4,0.01",0,40,45,1,0
422,3,"1.34,-1.8,0.01",0,40,45,1,0
423,3,"-2.06,-6,0.01",0,8,20,1,0
424,3,"-1.86,2.4,0.01",0,8,20,1,0
425,3,"0.34,-1.8,0.01",0,8,20,1,0
426,3,"-5.46,-6,0.01",0,8,20,1,0
427,3,"0.34,-6,0.01",0,8,20,1,0
428,3,"-5.36,2.4,0.01",0,8,20,1,0
429,3,"0.34,2.4,0.01",0,8,20,1,0
430,1,"-2,3,0",0,8,60,1,0
431,1,"-2,-3,0",0,8,60,1,0
432,1,"20,0,0",0,15,60,1,0
433,1,"-0.4,0,0",0,1,1,1,0
434,1,"1,0,0",0,5,5,1,0
435,1,"5,0,0",0,2,2,1,0
436,2,"7,0,0",0,26,26,1,0
437,1,"-5,0,0",0,60,60,1,0
438,2,"2.8,0,0",0,2,2,1,0
439,3,"3,-2,0",0,2,2,1,0
701,1,"-30,0,0",0,1,0,1,0
702,1,"0,4.2,0",0,6,0,1,0
703,1,"0,-4.2,0",0,6,0,1,0
704,1,"-7,0,0",0,11,11,1,0
705,1,"7,0,0",0,17,0,1,0
706,1,"2,1,0",0,20,0,1,0
707,1,"-2,-1,0",0,8,0,1,0
708,1,"-3,0,0",0,90,0,1,0
709,1,"2,0,0",0,60,0,1,0
710,1,"0.4,4.2,0",0,10,0,1,0
711,1,"-0.4,-4.2,0",0,10,0,1,0
712,1,"0.8,4.2,0",0,10,0,1,0
713,1,"-0.8,-4.2,0",0,10,0,1,0
714,1,"0,4.2,0",0,10,0,1,0
715,1,"0,-4.2,0",0,10,0,1,0
716,1,"-0.2,0,0",0,25,0,1,0
