id,enemy_team_id,enemy_level,enemy_type,is_night,reward_voucher,prize_id
1,20001,30,2,0,0,0
2,20002,30,2,0,1,0
3,20002,35,2,0,2,0
4,20003,35,2,0,2,0
5,20003,35,2,0,3,0
6,20004,40,2,0,4,0
7,20004,40,2,0,5,0
8,20005,40,2,0,5,0
9,20005,45,2,0,6,0
10,20066,0,1,0,7,1000
11,20006,45,2,0,7,0
12,20006,45,2,0,8,0
13,20007,45,2,0,9,0
14,20007,45,2,0,9,0
15,20008,50,2,0,10,0
16,20008,50,2,0,11,0
17,20008,50,2,0,11,0
18,20009,50,2,0,12,0
19,20009,55,2,0,13,0
20,20067,0,1,0,13,1001
21,20012,50,5,0,14,0
22,20012,50,5,0,14,0
23,20012,50,5,0,15,0
24,20012,50,5,0,16,0
25,20013,45,5,0,16,0
26,20013,45,5,0,17,0
27,20013,50,5,0,17,0
28,20013,50,5,0,18,0
29,20014,55,5,0,18,0
30,20068,0,1,0,19,1002
31,20016,10,"7,5",0,20,0
32,20016,15,"7,5",0,20,0
33,20016,20,"7,5",0,21,0
34,20016,25,"7,5",0,21,0
35,20016,30,"7,5",0,22,0
36,20017,35,"7,5",0,22,0
37,20017,40,"7,5",0,23,0
38,20017,45,"7,5",0,23,0
39,20017,50,"7,5",0,24,0
40,20069,0,1,0,25,1003
41,20027,40,"3,5",0,25,0
42,20027,42,"3,5",0,26,0
43,20027,45,"3,5",0,26,0
44,20027,47,"3,5",0,27,0
45,20028,50,"3,5",0,27,0
46,20028,52,"3,5",0,28,0
47,20028,55,"3,5",0,28,0
48,20028,57,"3,5",0,29,0
49,20028,60,"3,5",0,29,0
50,20070,0,1,0,30,1004
51,20032,50,9,1,30,0
52,20032,51,9,1,30,0
53,20032,52,9,1,31,0
54,20033,53,9,1,31,0
55,20033,54,9,1,32,0
56,20033,55,9,1,32,0
57,20033,56,9,1,33,0
58,20034,57,9,1,33,0
59,20034,58,9,1,34,0
60,20071,0,1,1,34,1005
61,20033,59,9,1,35,0
62,20033,60,9,1,35,0
63,20033,61,9,1,35,0
64,20033,62,9,1,36,0
65,20033,63,9,1,36,0
66,20039,64,"7,5",0,37,0
67,20039,65,"7,5",0,37,0
68,20039,66,"7,5",0,38,0
69,20039,67,"7,5",0,38,0
70,20072,0,1,0,38,1006
71,20042,71,"3,5",0,39,0
72,20042,72,"3,5",0,39,0
73,20042,73,"3,5",0,40,0
74,20043,74,"3,5",0,40,0
75,20043,75,"3,5",0,40,0
76,20043,76,"3,5",0,41,0
77,20044,77,"3,5",0,41,0
78,20044,78,"3,5",0,42,0
79,20044,79,"3,5",0,42,0
80,20073,0,1,0,42,1007
81,20053,81,9,1,43,0
82,20053,82,9,1,43,0
83,20053,83,9,1,43,0
84,20054,84,9,1,44,0
85,20054,85,9,1,44,0
86,20054,86,9,1,45,0
87,20059,87,5,0,45,0
88,20059,88,5,0,45,0
89,20059,89,5,0,46,0
90,20074,0,1,0,46,1008
91,20049,91,"7,5",0,46,0
92,20049,92,"7,5",0,47,0
93,20049,93,"7,5",0,47,0
94,20049,94,"7,5",0,47,0
95,20065,95,"3,5",1,48,0
96,20065,96,"3,5",1,48,0
97,20065,97,"3,5",1,48,0
98,20065,98,"3,5",1,49,0
99,20065,99,"3,5",1,49,0
100,20075,100,1,1,50,1009
101,20065,100,"3,5",0,50,0
102,20065,100,"3,5",0,50,0
103,20065,100,"3,5",0,50,0
104,20065,100,"3,5",0,51,0
105,20065,100,"3,5",0,51,0
106,20065,100,"3,5",0,51,0
107,20065,100,"3,5",0,52,0
108,20065,100,"3,5",0,52,0
109,20065,100,"3,5",0,52,0
110,1000110,100,"3,5",0,57,100001
111,1000111,90,"3,5",0,57,0
112,1000112,90,"3,5",0,57,0
113,1000113,90,"3,5",0,57,0
114,1000114,90,"3,5",0,57,0
115,1000115,90,"3,5",0,57,0
116,1000116,90,"3,5",0,57,0
117,1000117,90,"3,5",0,57,0
118,1000118,90,"3,5",0,57,0
119,1000119,90,"3,5",0,57,0
120,1000120,100,"3,5",0,63,100002
121,1000121,85,"3,5",1,63,0
122,1000122,85,"3,5",1,63,0
123,1000123,85,"3,5",1,63,0
124,1000124,85,"3,5",1,63,0
125,1000125,85,"3,5",1,63,0
126,1000126,85,"3,5",1,63,0
127,1000127,85,"3,5",1,63,0
128,1000128,85,"3,5",1,63,0
129,1000129,85,"3,5",1,63,0
130,1000130,80,"3,5",1,69,100003
131,1000131,85,"3,5",0,69,0
132,1000132,90,"3,5",0,69,0
133,1000133,100,"3,5",0,69,0
134,1000134,100,"3,5",0,69,0
135,1000135,30105,"3,5",0,69,0
136,1000136,30105,"3,5",0,69,0
137,1000137,30110,"3,5",0,69,0
138,1000138,30110,"3,5",0,69,0
139,1000139,30110,"3,5",0,69,0
140,1000140,30110,"3,5",0,74,100004
141,1000141,30120,"3,5",0,74,0
142,1000142,30120,"3,5",0,74,0
143,1000143,30120,"3,5",0,74,0
144,1000144,30130,"3,5",0,74,0
145,1000145,30130,"3,5",0,74,0
146,1000146,30140,"3,5",0,74,0
147,1000147,30140,"3,5",0,74,0
148,1000148,30150,"3,5",0,74,0
149,1000149,30150,"3,5",0,74,0
