id,equip_id,equip_level,pow,hit,dodge,speed,rate,critical_harm_rate,critical_percent,armor_piercing,armor,shield,damage_amplify,damage_reduction,night_view_percent,bullet_number_up
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,39,0,5000,0,5000,0,0,0,0,0,0,0,0,0,0,0
57,71,0,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0
58,7,0,5000,5000,0,0,5000,0,0,0,0,0,0,0,0,0
59,3,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0
60,31,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
61,57,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0
62,19,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0
63,3,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0
64,89,0,0,0,0,5000,0,5000,0,0,0,0,0,0,0,0
65,39,0,5000,0,5000,0,0,0,0,0,0,0,0,0,0,0
66,71,0,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0
67,7,0,5000,5000,0,0,5000,0,0,0,0,0,0,0,0,0
68,65,0,0,0,5000,0,0,0,5000,0,0,0,0,0,0,0
69,71,0,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0
70,57,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0
71,43,0,0,0,5000,0,0,0,0,0,5000,0,0,0,0,0
72,75,0,5000,0,0,0,0,5000,0,0,0,0,0,0,0,0
73,11,0,0,5000,0,0,5000,0,0,0,0,0,0,0,0,0
74,39,0,5000,0,5000,0,0,0,0,0,0,0,0,0,0,0
75,71,0,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0
76,7,0,5000,5000,0,0,5000,0,0,0,0,0,0,0,0,0
77,19,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0
78,11,0,0,5000,0,0,5000,0,0,0,0,0,0,0,0,0
79,67,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,5000
80,19,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0
81,11,0,0,5000,0,0,5000,0,0,0,0,0,0,0,0,0
82,67,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,5000
83,65,0,0,0,5000,0,0,0,5000,0,0,0,0,0,0,0
