id,actions,up_rate,min_time,time_weight,move_speed,interact_point,interact_point_offset
0,"1,2,4,5,16,17","150,50,50,50,2000,2000","5,5,5,5,300,300","1,1,1,1,5,5",0.0,,
1,"100101,100101,100101,100102,100103,100104,3,43508,18,43104,41919,43105,420231,459044,42032,100100,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
2,"100201,100201,100201,100202,100203,100204,3,43508,18,43104,41919,43105,42023,459044,42032,100200,420472,472182,42070,47225","33,33,33,50,30,20,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
3,"100301,100301,100301,100302,100303,100304,3,18,43104,41919,43105,42023,459044,42032,100300,420472,472182,42070,47225","12,12,12,30,30,20,20,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,20,45,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,20,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
4,"100401,100401,100401,100402,100403,100404,3,43508,18,43104,41919,43105,42023,459044,42032,100400,420472,472182,42070,47225","10,10,10,20,40,40,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,60,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
5,"100501,100501,100501,100502,100503,100504,3,43508,18,43104,41919,43105,42023,459044,42032,100500,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
6,"100601,100601,100601,100602,100603,100604,3,43508,18,450102,43104,41919,43105,42023,459044,42032,100600,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
7,"100701,100701,100701,100702,100703,100704,3,43508,18,450102,43104,41919,43105,42023,459044,42032,100700,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0",0.0,,
8,"100801,100801,100801,100802,100803,100804,3,43508,18,450102,43104,41919,43105,42023,459044,42032,100800,420472,472182,42070,47225","25,25,25,100,40,20,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
9,"100901,100901,100901,100902,100903,100904,3,43508,18,43104,41919,43105,42023,459044,42032,100900,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
10,"101001,101001,101001,101002,101003,101004,3,43508,18,43104,41919,43105,42023,459044,42032,101000,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
11,"101101,101101,101101,101102,101103,101104,3,43508,18,43104,41919,43105,42023,459044,42032,101100,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
12,"101201,101201,101201,101202,101203,101204,3,43508,18,43104,41919,43105,42023,459044,42032,101200,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
