id,mission_id,description,scripts,campaign,bgm,title,is_util,start,round,point,first,mid,end,fail,step_start_story,step_end_story
1,1,M4A1报告:AR小组之前受帕斯卡委托，潜入S09区回收一个名为“莱柯”的人类留下的资料。,"0-1-1,0-1-2",0,BGM_Frontline,热身运动,1,0-1-1,,,0-1-2,,0-1-2,,,
2,2,M4A1报告:AR小组在3号安全屋找到资料，却落入了铁血头目【代理人】的陷阱。,"0-2-1,0-2-2",0,BGM_Frontline,黑色情报,1,0-2-1,,,0-2-2,,0-2-2,,,
3,3,M4A1报告:我们坚守到资料传输完毕，但在撤离安全屋之前被代理人逼入死路。,"0-3-1,0-3-2",0,BGM_Frontline,守护据点,1,0-3-1,,,0-3-2,,0-3-2,,,
4,4,M4A1报告:在当地的格里芬小队协助下，我们仓皇逃离战场并失散，直到今天才得以团聚……,"0-4-1,0-4-2",0,BGM_Frontline,最终挑战,1,0-4-1,,,0-4-2,,0-4-2,,,
5,5,今天，我们的指挥官正式入职了，在我的协助下开始了第一次演习。,"1-1-1,1-1-2",1,BGM_Frontline,演习训练,1,1-1-1,,,1-1-2,,1-1-2,,,
6,6,我们接到了来自总部的第一个任务，侦查当地的铁血动向。,"1-2-1,1-2-2",1,BGM_Frontline,转移伤患,1,1-2-1,,,1-2-2,,1-2-2,,,
7,7,有几名人形从铁血的偷袭中幸存下来，我们护送她们回到了基地。,"1-3-1,1-3-2",1,BGM_Frontline,调查异常,1,1-3-1,,,1-3-2,,1-3-2,,,
8,8,在指挥官的掩护下，幸存的人形们顺利救回了被俘的同伴。,"1-4-1,1-4-2",1,BGM_Frontline,失踪人口,1,1-4-1,,,1-4-2,,1-4-2,,,
9,9,根据人形透露的信息，我们找出了潜伏在当地的铁血头目，它似乎在寻找什么人……,"1-5-1,1-5-2",1,BGM_Frontline,救援信号,1,1-5-1,,,1-5-2,,1-5-2,,,
10,10,我们击败了【稻草人】，却没能阻止它将关键情报传给远方的搭档。,"1-6-1,1-6-2",1,BGM_Frontline,除草行动,1,1-6-1,,,1-6-2,,1-6-2,,,
11,11,应赫丽安小姐的邀请，指挥官参加了一次特殊的作战演习。,"1-1-1E,1-1-2E",1,BGM_Frontline,进阶训练Ⅰ,1,1-1-1E,,,1-1-2E,,1-1-2E,,,
12,12,这次演习似乎和人才选拔有关呢，格里芬看来很重视我们的指挥官。,"1-2-1E,1-2-2E",1,BGM_Frontline,进阶训练Ⅱ,1,1-2-1E,,,1-2-2E,,1-2-2E,,,
13,13,指挥官找我聊了些铁血的事情，但我却关注着赫丽安小姐的又一次爽约……,"1-3-1E,1-3-2E",1,BGM_Frontline,进阶训练Ⅲ,1,1-3-1E,,,1-3-2E,,1-3-2E,,,
14,14,原来格里芬传闻中的“联谊败犬”就是赫丽安呢，这样下去可不妙啊，要不要帮帮忙呢？,"1-4-1E,1-4-2E",1,BGM_Frontline,进阶训练Ⅳ,1,1-4-1E,,,1-4-2E,,1-4-2E,,,
15,90001,MP5在指挥官的指引下进行交接情报活动，第一站是WA2000，行动十分顺利……算是吧。,"1-1-1N,1-1-2N",1,BGM_Frontline,小小邮差Ⅰ,1,1-1-1N,,,1-1-2N,,1-1-2N,,,
16,90002,MP5完成了与P7的接触，并代表诸多人形对P7实行了某种……“教育”？大概是这意思吧。,"1-2-1N,1-2-2N",1,BGM_Frontline,小小邮差Ⅱ,1,1-2-1N,,,1-2-2N,,1-2-2N,,,
17,90003,MP5遇到了点小麻烦，不过在MG5的威慑和G36的利诱下成功脱险，一切相安无事。,"1-3-1N,1-3-2N",1,BGM_Frontline,小小邮差Ⅲ,1,1-3-1N,,,1-3-2N,,1-3-2N,,,
18,90004,在指挥官协助下，MP5成功将情报带给了赫丽安小姐，不过对我们而言，工作才刚刚开始。,"1-4-1N,1-4-2N",1,BGM_Frontline,小小邮差Ⅳ,1,1-4-1N,,,1-4-2N,,1-4-2N,,,
19,15,我们试图寻找弥补的办法，结果一无所获，于是一切追查行动被命令暂停……,"2-1-1,2-1-2",2,BGM_Frontline,追踪日志,1,2-1-1,,,2-1-2,,2-1-2,,,
