mission_id,boss_hp_bars,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,coins,prize_id
10001,1,0,0,0,0,0,0,0,0,,,,,,6001
10002,6,0,0,0,0,0,0,0,0,,,,,,6002
10003,10,0,0,0,0,0,0,0,0,,,,,,6003
10004,15,0,0,0,0,0,0,0,0,,,,,,6004
10005,1,0,0,0,0,0,0,0,0,,,,,,6505
10006,1,0,0,0,0,0,0,0,0,,,,,,6506
10007,1,0,0,0,0,0,0,0,0,,,,,,6507
10008,3,0,0,0,0,0,0,0,0,,,,,,6508
10009,1,0,0,0,0,0,0,0,0,,,,,,6509
10010,1,0,0,0,0,0,0,0,0,,,,,,6510
10011,1,0,0,0,0,0,0,0,0,,,,,,6511
10012,6,0,0,0,0,0,0,0,0,,,,,,6512
10013,1,0,0,0,0,0,0,0,0,,,,,,6513
10014,1,0,0,0,0,0,0,0,0,,,,,,6514
10015,1,0,0,0,0,0,0,0,0,,,,,,6515
10016,10,0,0,0,0,0,0,0,0,,,,,,6516
10017,1,0,0,0,0,0,0,0,0,,,,,,0
10018,1,0,0,0,0,0,0,0,0,,,,,,6518
10019,4,0,0,0,0,0,0,0,0,,,,,,6519
10020,6,0,0,0,0,0,0,0,0,,,,,,6520
10021,10,0,0,0,0,0,0,0,0,,,,,,6521
10022,3,0,0,0,0,0,0,0,0,,,,,,6522
10023,5,0,0,0,0,0,0,0,0,,,,,,6523
10024,8,0,0,0,0,0,0,0,0,,,,,,6524
10025,12,0,0,0,0,0,0,0,0,,,,,,6525
10026,4,0,0,0,0,0,0,0,0,,,,,,6026
10027,1,0,0,0,0,0,0,0,0,,,,,,6027
10028,1,0,0,0,0,0,0,0,0,,,,,,6028
10029,6,0,0,0,0,0,0,0,0,,,,,,6029
10030,1,0,0,0,0,0,0,0,0,,,,,,6530
10031,1,0,0,0,0,0,0,0,0,,,,,,6531
10032,1,0,0,0,0,0,0,0,0,,,,,,6532
10033,3,0,0,0,0,0,0,0,0,,,,,,6533
10034,1,0,0,0,0,0,0,0,0,,,,,,6534
10035,1,0,0,0,0,0,0,0,0,,,,,,6535
10036,1,0,0,0,0,0,0,0,0,,,,,,0
10037,1,0,0,0,0,0,0,0,0,,,,,,6537
10038,6,0,0,0,0,0,0,0,0,,,,,,6538
10039,1,0,0,0,0,0,0,0,0,,,,,,6539
10040,1,0,0,0,0,0,0,0,0,,,,,,6540
10041,1,0,0,0,0,0,0,0,0,,,,,,6541
10042,10,0,0,0,0,0,0,0,0,,,,,,6542
10043,1,0,0,0,0,0,0,0,0,,,,,,6043
10044,1,0,0,0,0,0,0,0,0,,,,,,6044
10045,1,0,0,0,0,0,0,0,0,,,,,,6045
10046,3,0,0,0,0,0,0,0,0,,,,,,6046
10047,1,0,0,0,0,0,0,0,0,,,,,,6047
10048,6,0,0,0,0,0,0,0,0,,,,,,6048
10049,1,0,0,0,0,0,0,0,0,,,,,,6049
10050,10,0,0,0,0,0,0,0,0,,,,,,6050
10051,1,0,0,0,0,0,0,0,0,,,,,,6551
10052,1,0,0,0,0,0,0,0,0,,,,,,6552
10053,1,0,0,0,0,0,0,0,0,,,,,,6553
10054,1,0,0,0,0,0,0,0,0,,,,,,6554
10055,1,0,0,0,0,0,0,0,0,,,,,,6555
10056,1,0,0,0,0,0,0,0,0,,,,,,6556
10057,1,0,0,0,0,0,0,0,0,,,,,,6557
