id,group,grade,name,description
1,2,11,轻锐小队,纵然是一颗小小的星火，亦有照亮无边黑暗的雄心壮志。
2,2,12,轻锐小队,纵然是一颗小小的星火，亦有照亮无边黑暗的雄心壮志。
3,2,20,初具规模,在这个满目疮痍的世界里，只有足够强大，才能守护你所珍视的一切。
4,2,21,初具规模,在这个满目疮痍的世界里，只有足够强大，才能守护你所珍视的一切。
5,2,22,初具规模,在这个满目疮痍的世界里，只有足够强大，才能守护你所珍视的一切。
6,2,30,王牌纵队,“若是成为最强的指挥官的话，或许就能够再多去保护一些事物了吧？”——在时代的洪流中，一位年轻人如是说道。
7,2,31,王牌纵队,“若是成为最强的指挥官的话，或许就能够再多去保护一些事物了吧？”——在时代的洪流中，一位年轻人如是说道。
8,2,32,王牌纵队,“若是成为最强的指挥官的话，或许就能够再多去保护一些事物了吧？”——在时代的洪流中，一位年轻人如是说道。
9,2,40,旌旗漫天,漫天飘扬的军旗，正如展翅高飞的狮鹫，迎向那未知而遥远的风暴。
10,2,41,旌旗漫天,漫天飘扬的军旗，正如展翅高飞的狮鹫，迎向那未知而遥远的风暴。
11,2,42,旌旗漫天,漫天飘扬的军旗，正如展翅高飞的狮鹫，迎向那未知而遥远的风暴。
12,2,50,百万雄师,脚步响彻群山，破阵无往不利，你来，你见，你征服。
13,2,51,百万雄师,脚步响彻群山，破阵无往不利，你来，你见，你征服。
14,2,52,百万雄师,脚步响彻群山，破阵无往不利，你来，你见，你征服。
15,2,60,军团之心,少女们直面战场上的硝烟，抛却恐惧勇往直前，因为她们知道，守护自己背后的人，是你。
16,2,61,军团之心,少女们直面战场上的硝烟，抛却恐惧勇往直前，因为她们知道，守护自己背后的人，是你。
17,3,11,军备紧张,当手头实在是没什么武器时，削尖的木棍便是最锋利的军刀。
18,3,21,物资充足,好了姑娘们，别抱着那些老式装备垂头丧气了，来看看这一批……呃，不那么老式的战术装备，是不是心情会好一点？
19,3,31,小康之路,想要什么牌子货装备就写个报告，指挥官都能给你搞定，咱们现在有钱啦！
20,3,41,武器大师,工欲善其事，必先利其器。优秀的装备将使人形们在战场上如虎添翼，而你，正是深谙其道的大师。
21,3,51,大收藏家,即使是身经百战的忠诚老兵，看到这宝山一样的战术装备仓库，也不免会稍稍动一下跳槽到格里芬的心思。
22,3,61,军火帝王,尽管这个世界并不温柔，但你仍可以用这些冰冷的战术装备，去创造一个温暖的未来。
23,4,11,唯物主义,世界上哪有什么妖精、女巫、亚瑟王，都是骗小孩的啦。
24,4,21,与妖精共舞,当你第一次与这些可爱的小家伙们交谈时，你就知道自己已经无可救药地喜欢上了她们了。
25,4,31,电子祝福,童话里的妖精会赐予让强大的森林祝福，格里芬的电子妖精则会给你让抽到的优惠券数额更大一点的赛博祝福。
26,4,41,妖精的魔法,虽然这个世界上并没有什么诅咒与魔法，但被战术妖精们所爱的你却有着和魔法师一样扭转战局的神奇力量。
27,4,51,如赤龙一般,被战术妖精所眷顾的你，亦会拿起武器守护她们，一如凯尔特神话中的亚瑟王。
28,4,61,硝烟的奥伯隆,我是格里芬的指挥官，既更新世界锋芒之人，亦是战术妖精所拥之王。
29,5,11,巷战专家,其实我们巷战打得好，主要还是因为实在是没什么重型火力单位……
30,5,21,轰炸指令,你之前说这个据点拔不下来是因为没有重型火力对吧？这回给你把重火力都安排了，再打不下来可就说不过去了吧？
31,5,31,炮火轰鸣,集结的信号、进攻的指令与炮火的轰鸣，皆是胜利乐章的前奏。
32,5,41,钢铁落雷,此刻，我们将于战场上降下由钢铁铸就的落雷。
33,5,51,驯龙者,焚尽一切的火力，正如同巨龙的吐息。
34,5,61,吾即神罚,我仇敌的巢穴将化作吞噬他们的火海，正如神在巴比伦降下的惩罚一般。
35,6,11,眼不容沙,把那些敌人编进我的队伍？你在开什么离谱玩笑？
36,6,21,化敌为友,啧啧，看看这火力，这装甲……我怎么就没早点想到收编她们呢？
37,6,31,兼收并蓄,格里芬的人形要任用，投诚的人形也要任用，这才称得上健全清廉的指挥官！
38,6,41,阵线同盟,当我们联合在一起时，任何危机都不足为惧。
39,6,51,秘密王牌,在名为战争的豪赌中，你日渐强盛的融合势力部队正是那张足以掀翻牌桌的秘密王牌。
40,6,61,共赴星河,在漫无边际的黑夜中，那些微小的星光相互依偎，便化作了照亮前路的银河。
41,8,11,纸上谈兵,在入职格里芬之前，你已拥有了丰富的军事理论知识，但决定战局走向的，不只有理论。
42,8,21,初出茅庐,维京勇士北风造，现在正是逆风前行，于战火中历练的时刻。
43,8,31,走一看三,战场如同棋盘，当你能够在踏出第一步时看到对手的三步，那你便已经是一位出色的战场指挥官了。
44,8,41,战场魔术师,如果说战争是一场演出，那么火力只不过是舞台的灯光，能够扭转战局的魔术，是指挥者的战术与策略。
45,8,51,胸余万策,面对如潮水般涌上的敌人，你只是一笑而过——妙计早已备好，剩下的，便是看着他们在谈笑间败亡。
46,8,61,无败将军,无数修罗战场的锤炼，让你成为了无往不利的不败将军，但那份美好的初心，却并未因战火而磨损。
47,9,11,闪电战狂人,别提那些什么资源什么补给，闪电战懂吗？闪！电！战！
48,9,21,战地食堂,在向格琳娜请教了关于战场后勤的事情以后，你至少不会让前线的人形们挨饿了。
49,9,31,狮鹫配送,有时候你也会想，如果当初没有来做格里芬的指挥官，而是去快递公司做统筹，你赚的会不会更多一些。
50,9,41,超级后勤官,兵马未至，粮草先行。优秀利落的决断与后勤执行力是获取胜利的关键。
51,9,51,暴食大王,看着格里芬的人形圆润程度肉眼可见的提升，你开始思考自己努力的方向是不是有什么问题。
52,9,61,宝山之主,将大把资源握与手中的你所渴求的并非是财富，而是让你珍视的人们变得幸福的力量。
53,10,11,自宅警备,交朋友？我还是觉得漫画与格里芬匿名留言板更有趣一些。
54,10,21,走出家门,在踏出办公室的第一步后，我发现交个朋友还是挺开心的。
55,10,31,挚友同行,在战场上，我们将背后托付给对方，誓要并肩杀出一条血路，不过现在——为什么不来一局紧张刺激的飞行棋呢？
56,10,41,社交达人,和人交流是一种享受，把陌生人变成朋友则是一种艺术。
57,10,51,派对小子,谁会讨厌快乐的派对呢？就让战友亲朋齐聚一堂，今夜酒水不限量！
58,10,61,超级明星,即使是电视台签下的当红大明星，也不及你这个万人迷一半耀眼！
59,11,11,冷面军官,看似笨拙冰冷言语的背后，是一颗热忱的关切之心。
60,11,21,初袒心迹,沉默的关切不是所有时候都可以传达，有些善意总归是要开口才能让他人明白。
61,11,31,热血教师,人形们在工作上的难题与生活中的苦恼，你都有尽心尽力地去帮助她们解决，就像那位带着放牛班的年轻教师一样。
62,11,41,人形之友,在这个月的“谁是格里芬最可爱的人”投票里，你居然毫无悬念地拿了第一。
63,11,51,风中小舟,在变革的风暴中，你便是让人形们得以喘息的一叶扁舟，你们紧紧相拥，只为在这风暴之下得以生存。
64,11,61,灯火归宿,徒有强大的人无法看到他人的痛楚，保持那份温柔初心的你，便是人形们的灯火与归宿。//n
