id,title,regTarget,targetPath,tipsManagePath,tipsID,bg_path,tipPos,tipSize
1,tips_TeamLabelDrag(Clone),Formation://Canvas,Formation://Canvas/Formation/Left/Scroller/Team/TeamLabelDrag(Clone),Formation://Canvas/Top/TopBackground/TipsManage,选择<color=#e57006>梯队</color> 提供更多战斗选择,Tips/Tips_BG_Right,"222,0,0","244,250"
2,tips_FormationCharacterLabel (1),Formation://Canvas,Formation://Canvas/Formation/Main/Labels/FormationCharacterLabel (1),Formation://Canvas/Top/TopBackground/TipsManage,选中角色//n进行<color=#e57006>替换</color>,Tips/Tips_BG_Left,"-229,0,0","140,250"
3,tips_ButtonFormation,Formation://Canvas,Formation://Canvas/Formation/Main/Right/ButtonFormation,Formation://Canvas/Top/TopBackground/TipsManage,进行<color=#e57006>阵型搭配</color>,Tips/Tips_BG_Left,"-250,0,0","150,250"
4,tips_OFF,Formation://Canvas,Formation://Canvas/Formation/Main/Right/Eqiupmentswitch,Formation://Canvas/Top/TopBackground/TipsManage,替换//n<color=#e57006>角色装备</color>,Tips/Tips_BG_Top,"0,130,0","250,200"
5,tips_CurrentRoom,Dorm://Canvas/RoomSelect/DarkRoom,Dorm://Canvas/RoomSelect/DarkRoom,Dorm://Canvas/TipsHolder/TipsManage,各式各样的 <color=#e57006>房间</color>充满新奇,Tips/Tips_BG_Bottom,"10.5,-153,0","255,200"
6,Tip,Dorm://Canvas,Dorm://Canvas/Home/ChangeLayout,Dorm://Canvas/TipsHolder/TipsManage,<color=#e57006>装扮</color>心爱的人形,Tips/Tips_BG_Bottom,"-45,-140,0","250,200"
7,Tip,Dorm://Canvas,Dorm://Canvas/Home/Edit,Dorm://Canvas/TipsHolder/TipsManage,打造属于自己的宿舍,Tips/Tips_BG_Bottom,"55,-140,0","250,200"
8,Tip,Dorm://Canvas,Dorm://Canvas/Home/Visit,Dorm://Canvas/TipsHolder/TipsManage,串门其他玩家的宿舍,Tips/Tips_BG_Top,"-1.525879E-05,160,0","250,200"
9,Tip,Dorm://Canvas,Dorm://Canvas/Home/Supply,Dorm://Canvas/TipsHolder/TipsManage,<color=#e57006>采购道具</color>布置宿舍,Tips/Tips_BG_Top,"0,160,0","250,200"
10,Tip,Dorm://Canvas,Dorm://Canvas/Home/Boxes,Dorm://Canvas/TipsHolder/TipsManage,收纳<color=#e57006>家具</color>及<color=#e57006>礼物</color>,Tips/Tips_BG_Top,"0,160,0","250,200"
11,Tip,Deployment://Canvas/DeploymentUIController,Deployment://Canvas/DeploymentUIController/Top/Return,Deployment://Canvas/TipsManage,此处可   <color=#e57006>重新选择</color> 任务,Tips/Tips_BG_Bottom,"0,-160,0","244,250"
12,Tip,Deployment://Canvas/DeploymentUIController,Deployment://Canvas/UI/Top/btnExplainMission,Deployment://Canvas/TipsManage,<color=#e57006>任务简报</color>及<color=#e57006>帮助界面</color> 戳这,Tips/Tips_BG_Bottom,"51,-160,0","244,250"
13,Tip,Factory://Canvas/DevelopMain,Factory://Canvas/DevelopMain/MainFrame/Slots/FactorySlotUnlocked(Clone)/IOPInProgress,Factory://Canvas/Top/TopBackground/TipsManage,此处进行 <color=#e57006>普通人形</color> 建造,Tips/Tips_BG_Right,"471,0,0","244,300"
14,Tip,Factory://Canvas/CombineMain,Factory://Canvas/CombineMain/CombineMainItem,Factory://Canvas/Top/TopBackground/TipsManage,需要 <color=#e57006>扩编</color>的人形放这,Tips/Tips_BG_Right,"227,208,0","244,300"
15,Tip,Factory://Canvas/DevelopMain,Factory://Canvas/DevelopMain/MainFrame/Slots/FactorySlotUnlocked(Clone)/16InProgress,Factory://Canvas/Top/TopBackground/TipsManage,此处进行 <color=#e57006>高级人形</color> 建造,Tips/Tips_BG_Bottom,"0,-154,0","244,300"
16,Tip,Factory://Canvas,Factory://Canvas/FeedMain/FeedCharacterLabel,Factory://Canvas/Top/TopBackground/TipsManage,需要 <color=#e57006>强化</color>的角色放这,Tips/Tips_BG_Right,"264,47,0","244,300"
17,Tip,Factory://Canvas,Factory://Canvas/FeedMain/MainPanel/Panel/SmallEmptyItem,Factory://Canvas/Top/TopBackground/TipsManage,添加的 <color=#e57006>素材</color>放这,Tips/Tips_BG_Right,"178,0,0","244,300"
18,Tip,Factory://Canvas,Factory://Canvas/FeedMain/Capsule/NumberFrame,Factory://Canvas/Top/TopBackground/TipsManage,如果有 <color=#e57006>胶囊</color>可在此处添加,Tips/Tips_BG_Top,"0,169,0","244,300"
19,Tip,Factory://Canvas/RetireMain,Factory://Canvas/RetireMain/MainPanel/Panel/SmallEmptyItem (1),Factory://Canvas/Top/TopBackground/TipsManage,想<color=#e57006>拆解</color>什么在这里选,Tips/Tips_BG_Bottom,"0,-197,0","244,300"
20,Tip,Factory://Canvas,Factory://Canvas/EqiupmentDevelopMain/MainFrame/Slots/FactorySlotUnlocked(Clone)/IOPInProgress,Factory://Canvas/Top/TopBackground/TipsManage,此处进行 <color=#e57006>普通装备</color> 建造,Tips/Tips_BG_Right,"461,0,0","244,300"
21,Tip,Factory://Canvas,Factory://Canvas/EqiupmentDevelopMain/MainFrame/Slots/FactorySlotUnlocked(Clone)/16InProgress,Factory://Canvas/Top/TopBackground/TipsManage,此处进行 <color=#e57006>高级装备</color> 建造,Tips/Tips_BG_Bottom,"0,-235,0","244,300"
22,Tip,Research://Canvas/Main/SkillTrainingMain/SkillTrainingController/ScrollRect/Items/ResearchBar(Clone),Research://Canvas/Main/SkillTrainingMain/SkillTrainingController/ScrollRect/Items/ResearchBar(Clone)/Image选择角色,Research://Canvas/Top/TipsManage,选择 需要<color=#e57006>强化技能</color>的人形,Tips/Tips_BG_Right,"264,0,0","244,300"
23,Tip,Research://Canvas/Main/EquipStrengthen(Clone),Research://Canvas/Main/EquipStrengthen(Clone)/Left/MainEquipBackground/BGNode,Research://Canvas/Top/TipsManage,需要强化的 <color=#e57006>装备</color>放这,Tips/Tips_BG_Right,"251,0,0","244,350"
24,Tip,Research://Canvas/Main/EquipStrengthen(Clone),Research://Canvas/Main/EquipStrengthen(Clone)/Right/Resource/Mask/GridLayoutGroup/SmallEmptyItem,Research://Canvas/Top/TipsManage,添加 <color=#e57006>素材</color>放这,Tips/Tips_BG_Right,"254,0,0","244,300"
25,Tip,Research://Canvas/Main/EquipCalibration(Clone),Research://Canvas/Main/EquipCalibration(Clone)/Right/Resource/Left/Empty,Research://Canvas/Top/TipsManage,需要<color=#e57006>校准</color>的装备放这,Tips/Tips_BG_Right,"265,0,0","244,300"
26,Tip,Research://Canvas/Main/EquipCalibration(Clone),Research://Canvas/Main/EquipCalibration(Clone)/Right/Value/VoucherBar,Research://Canvas/Top/TipsManage,消耗的<color=#e57006>素材</color>在这显示,Tips/Tips_BG_Left,"-577,0,0","244,300"
27,Tip,Research://Canvas/Main/FairyStrengthen(Clone),Research://Canvas/Main/FairyStrengthen(Clone)/Left/MainFairyBackground,Research://Canvas/Top/TipsManage,需要<color=#e57006>强化</color>的妖精放这,Tips/Tips_BG_Right,"240,0,0","244,300"
28,Tip,Research://Canvas/Main/FairyStrengthen(Clone),Research://Canvas/Main/FairyStrengthen(Clone)/Right/Resource/Mask/GridLayoutGroup/SmallEmptyItem,Research://Canvas/Top/TipsManage,作为<color=#e57006>素材</color>的妖精放这,Tips/Tips_BG_Right,"263,0,0","244,300"
29,Tip,Research://Canvas/Main/FairyStrengthen(Clone),Research://Canvas/Main/FairyStrengthen(Clone)/Right/Value/Background,Research://Canvas/Top/TipsManage,具体强化后的<color=#e57006>信息</color>,Tips/Tips_BG_Left,"-588,0,0","244,300"
30,Tip,Research://Canvas/Main/FairyCalibration(Clone),Research://Canvas/Main/FairyCalibration(Clone)/Right/Resource/Left/Empty,Research://Canvas/Top/TipsManage,需要<color=#e57006>校准</color>的妖精放这,Tips/Tips_BG_Left,"-298,0,0","244,300"
