id,duplicate_type,coin_type,campaign,sub,if_emergency,endless_mode,special_type,name,difficulty,exp_parameter,type,enemy_ai_type,win_turn,win_spot_id,special_spot_id,expect_enemy_die_num,expect_gun_die_num,expect_turn,boss_team_id,turn_duration,costbp,getcoin,getcoin_parameter,coin_ap,turn_limit,limit_gun_pool,limit_team,map_res_name,map_information,is_hide,is_snow,adaptive_gun,fog_length,fog_color,limit_equip_pool,draw_event_s_id,support_available,enemy_quickmove,expect_defend_line_turn,expect_hostage_num,title_logo,random_line_spot,order,reinforce_ally_team,reinforce_ally_turn,reinforce_ally_spot,ally_boss_team_id,ally_code,supply_parameter,drop_mission_key,close_missions,mission_group_id,mission_group_draw_event,open_mission_keys,mission_describe,force_type,round_config,color_change_type,color_change_number,color_change_result,spot_reset,draw_code,reset_drop_key_once,close_mission_control,limit_squad,open_mission_items,drop_mission_item,mapped_mission_id,branch_next_mission_id,win_type,medal_type_silver,drop_item_count,difficulty_recommend,difficulty_recommend_addendum,limit_sangvis,mission_tip,win_step,event_score,score_prize,drop_key_info,lose_type,fight_environment_group,environment_transform_config
1,0,0,0,1,0,0,0,热身运动,10000,48,2,1,0,7,6,3,0,3,222,360000000,0,0,0,0,0,,0,Chapter0_1_Y,"4481,4001|2495,1830|-298,-1274",0,0,,,,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,10000;99,无妖精需求,4,,,,,,,,
2,0,0,0,2,0,0,0,黑色情报,12000,49,2,1,0,25,15,5,0,4,233,360000000,0,0,0,0,0,,0,Chapter0_1_Y,"3848,3231|2812,3017|370,-171",0,0,,,,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,12000;99,无妖精需求,4,,,,,,,,
3,0,0,0,3,0,0,0,守护据点,14000,50,2,2,0,48,34,6,0,4,242,360000000,0,0,0,0,0,,0,Chapter0_2_Y,"2671,3623|2440,3176|0,0",0,0,,,,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,14000;99,无妖精需求,4,,,,,,,,
4,0,0,0,4,0,0,0,最终挑战,16000,50,2,3,0,87,80,13,0,7,259,360000000,0,0,0,0,0,,0,Chapter0_2_Y,"3548,3398|4029,3690|0,0",0,0,,,,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,16000;99,无妖精需求,4,对于低伤害且高攻击频率类型的敌人，使用霰弹枪作为前排单位能获得更好的抵御效果。,,,,,,,
5,0,0,1,1,0,0,0,演习训练,200,12,2,1,0,91,0,1,0,2,2,360000000,0,0,0,0,0,,0,Chapter1_Y,"3000,2625|2472,1574|0,-758",0,0,,,,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,200;1,无妖精需求,4,,,,,,,,
6,0,0,1,2,0,0,0,转移伤患,350,15,2,1,0,96,98,4,0,3,5,360000000,0,0,0,0,0,,0,Chapter1_Y,"3000,2625|3444,2001|-102,-420",0,0,,,,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,350;3,无妖精需求,4,,,,,,,,
7,0,0,1,3,0,0,0,调查异常,500,16,2,1,0,107,101,4,0,4,10,360000000,0,0,0,0,0,,0,Chapter1_Y,"3000,2625|2591,1876|0,437",0,0,,,,,0,2,0,0,,,0,0,7,0,0,0,ArmyLOGO,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,500;5,无妖精需求,4,,,,,,,,
8,0,0,1,4,0,0,0,失踪人口,550,18,2,2,0,118,114,4,0,3,14,360000000,0,0,0,0,0,,0,Chapter1_Y,"3000,2625|-3373,2298|55,242",0,0,,,,,0,2,0,0,,,0,0,8,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,550;7,无妖精需求,4,,,,,,,,
9,0,0,1,5,0,0,0,救援信号,650,19,2,2,0,132,127,5,0,4,20,360000000,0,0,0,0,0,,0,Chapter1_Y,"3000,2625|-3493,2079|49,-88",0,0,,,,,0,2,0,0,,,0,0,9,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,0,0,0,-1,,,0,,,,,650;9,无妖精需求,4,,,,,,,,
10,0,0,1,6,0,0,0,除草行动,800,20,2,2,0,147,140,6,0,5,27,360000000,0,0,0,0,0,15,0,Chapter1_Y,"3000,2625|-3490,-3097|0,0",0,0,,,,,557,2,0,0,,,0,0,10,0,0,0,,,0,,0,,,,0,"1:1,2:2,3:3",0,0,0,0,"222,1,hardcoremelon;0",0,0,-1,,,0,,,,,800;10,无妖精需求,4,,,,,,,,
