id,type,special_spot_condition,mission_buff_condition,person_condition
1,1,,,
2,2,,1000000*>0,
200101,3,2001*>0,,
1000100,4,,10001*==0,
1000101,4,,10001*>0,
1000102,2,,10001*>0,
1010100,4,,10101*==0,
1010101,4,,10101*>0,
1010102,2,,10101*>0,
5000141,4,,50001*>0,
9337201,3,9337201*>0,,
9337202,3,9337202*>0,,
9337203,3,9337203*>0,,
9337204,3,9337204*>0,,
9337205,3,9337205*>0,,
36300100,4,,363001*==0,
36300200,4,,363002*==0,
36301101,3,363001*>0,,
36301201,3,363002*>0,,
41030000,3,410300*==0,,
41031201,3,410312*>0,,
41035101,3,410351*>0,,
41035201,3,410352*>0,,
41036101,3,410361*>0,,
41036201,3,410362*>0,,
42011101,3,420111*>0,,
42020201,3,420202*>0,,
42021101,3,420211*>0,,
42021300,3,420213*==0,,
42021301,3,420213*>0,,
42030101,3,420301*>0,,
42031100,3,420311*==0,,
42031101,3,420311*>0,,
42031200,3,420312*==0,,
42031201,3,420312*>0,,
42031300,3,420313*==0,,
42031301,3,420313*>0,,
42031400,3,420314*==0,,
42031401,3,420314*>0,,
42031500,3,420315*==0,,
42031501,3,420315*>0,,
42031600,3,420316*==0,,
42031601,3,420316*>0,,
42040101,3,420401*>0,,
42050101,3,420501*>0,,
42050201,3,420502*>0,,
42050301,3,420503*>0,,
42050401,3,420504*>0,,
42051200,3,420512*==0,,
42051201,3,420512*>0,,
42051300,3,420513*==0,,
42051301,3,420513*>0,,
42051400,3,420514*==0,,
42051401,3,420514*>0,,
42060101,3,420601*>0,,
42060201,3,420602*>0,,
42060301,3,420603*>0,,
42060401,3,420604*>0,,
42060501,3,420605*>0,,
42060601,3,420606*>0,,
42060701,3,420607*>0,,
42061300,3,420613*==0,,
42061301,3,420613*>0,,
42061400,3,420614*==0,,
42061401,3,420614*>0,,
42061500,3,420615*==0,,
42061501,3,420615*>0,,
44000000,4,,440000*==0,
44000001,4,,440000*>0,
44000300,4,,440003*==0,
