id,name,spine_code,scale,ai,explore_tag
2101,田园猫（黄）,pet_cat4,68,2100,1001
2102,田园猫(黑),pet_cat5,68,2100,1001
2103,美国短毛猫,pet_cat1,68,2100,1001
2104,暹罗猫,pet_cat3,68,2100,1001
2105,薮猫,pet_cat2,68,2100,1001
2107,幽步喵,pet_cat6,68,2100,1001
2201,柴犬,pet_dog1,68,2201,1002
2202,巴哥犬,pet_dog6,68,2206,1002
2203,杜宾犬,pet_dog3,68,2200,1002
2204,哈士奇,pet_dog5,68,2205,1002
2205,古代牧羊犬,pet_dog4,68,2200,1002
2206,圣诞巴哥犬,pet_dog7,68,2206,1002
3000,16万圣节幽灵*,ws2016_deco,100,3000,
3001,指挥室格林娜*,Kalina,100,3001,
3002,铁血狗*,R_Dinergate,100,3002,
3003,圣诞节铁血狗*,RDinergate_chm2,100,3003,
3004,春节舞狮*,liondance,100,3004,
3005,星夜幻梦格林娜*,Kalina_angel,100,3005,
3006,博物之路格林娜*,Kalina_president,100,3006,
3007,地铁广告牌*,CMboard,100,3007,
3008,月光舞会格林娜*,Kalina_DLS,100,3001,
3009,糖果小镇飞行船*,flyboat,100,3008,
3010,沙滩格林娜*,Kalina_beach,100,3009,
3011,温泉狸猫*,tanuki,100,3010,
3012,藏书馆魔法书*,MagicBook,100,3010,
3013,万圣镇铁血狗*,Frankenstein,100,3011,
3014,壮志凌云飞机*,restroom_effect,100,3012,
3015,圣诞小屋雪橇*,Sled,100,3008,
3016,404RPG*,404RPG,100,3013,
3017,新年铁血狗*,RDinergate_cracker,100,3014,
3018,婚礼花*,strewflowers,100,3008,
3019,庭院铁血狗*,RDinergate_korea,100,3008,
3020,2周年*,2years,100,2206,
3021,儿童节*,Puppet,75,3011,
3022,粽子猫,unclecat,68,2207,1001
3023,南洋小馆格林娜*,Kalina_Maid,100,3015,
3024,花火祭柴犬,pet_dog8,68,2201,1002
3025,鲨鱼*,Shark,100,3016,
3026,摇滚铁血狗*,RDinergate_RockRoll,100,3017,
3027,万圣僵尸猫,cat_halloween,68,2100,1001
3028,万圣盔甲*,armor_Halloween,75,3018,
3029,偶像制作人*,Kalina_Producer,100,3019,
3030,战术麋鹿*,Elk,100,3015,
3031,驯猫,cat1Xmas,68,2100,1001
3032,巫女格林娜*,Kalina_miko,100,3020,
3033,白鸽,pet_bird2,90,3021,1003
3034,金色鸦雀,pet_bird4,90,3022,1003
