id,title,content,type,count,rank,prize
1,情报任务I,战役胜利情况下完成任意战役1次(自律作战除外),mission:optional,1,1,"10,3"
2,情报任务I,战斗胜利情况下消灭任意敌方单位×5,slay:optional,5,1,"10,3"
3,情报任务II,战役胜利情况下通过关卡普通4-6×2次,mission:40,2,2,"10,4"
4,情报任务II,战役胜利情况下通过关卡普通5-6×2次,mission:50,2,2,"10,4"
5,情报任务III,战役胜利情况下通过关卡普通6-6×1次,mission:60,1,3,"10,5"
6,情报任务III,战役胜利情况下通过关卡普通7-6×1次,mission:70,1,3,"10,5"
7,情报任务III,战斗胜利情况下消灭任意首领单位×1,slay:boss,1,3,"10,5"
8,情报任务I,战斗胜利情况下消灭装甲单位×3,slay:armor,3,1,"10,3"
10,情报任务I,战斗胜利情况下消灭无甲单位×3,slay:normal,3,1,"10,3"
12,情报任务II,战斗胜利情况下挑战普通战役1次,mission_common_win,1,2,"10,4"
13,情报任务II,战斗胜利情况下挑战紧急战役1次,mission_emergent_win,1,2,"10,4"
14,情报任务II,战役胜利情况下挑战夜战战役关卡1次,mission_night_win,1,2,"10,4"
