id,name,desc,if_display,code,skill_group
1,能量护盾,战斗中为本梯队内的所有冲锋枪张开护盾//c每个护盾最多吸收40点伤害。,1,shield,900101
2,狙击指令,战斗中瞄准敌方血量最高的角色//c造成2500点伤害。,1,sniper,900102
3,防暴强化,战斗中为本梯队内的所有霰弹枪加强防暴能力//c护甲提升15%//c持续20秒。,1,armor,900103
4,嘲讽靶机,战斗开场时投放一个能够吸引敌方伤害的靶机//c靶机具有400生命值。,1,target,900104
5,炮击指令,战斗中发射一枚迫击炮弹//c对2.5范围内的敌人造成200的伤害。,1,bombard,900108
6,致命空袭,战斗开场时呼叫空中打击//c对全体敌人造成80的伤害。,1,air_attack,900109
7,战斗效率,战斗中提升本梯队全体伤害5%和射速5%//c持续20秒（不可叠加）。,1,fighting,900110
8,怒无限强,战斗中提升本梯队全体命中10%和暴击率10%//c持续20秒（不可叠加）。,1,crit,900111
701,夜间怒气,夜间作战时，我方暴击率和暴击伤害增加30%,1,fight_skill_buff106,756071
702,近身打击,我方对范围3以内的敌方单位伤害提升20%,1,fight_skill_buff101,756072
703,突击惯性,该场战斗中提升我方全体伤害和回避每4秒提升3%，最多叠加10层,1,fight_skill_buff102,756082
704,迅速整备,我方前置冷却时间缩减30%,1,fight_skill_buff105,756076
705,偏转力场,我方血量最高单位开场获得9999点偏转力场，持续8秒,1,fight_skill_buff104,756077
706,装甲缺失,本场战斗我方护甲降低90%,1,fight_skill_buff203,756078
707,火力抑制,每10秒眩晕我方输出最高的单位5秒,1,fight_skill_buff201,756079
708,燃烧打击,开场在我方第一排生成燃烧区域，每10帧50点编制伤害，持续10秒,1,fight_skill_hurt102,756084
709,中枢迟缓,我方前置冷却时间延长30%,1,fight_skill_buff204,756081
710,队长之殇,我方队长伤害、命中、回避、护甲和暴击率降低90%,1,fight_skill_buff204,756086
711,步履维艰,我方全体移速下降50%,1,fight_skill_hurt202,756085
712,动弹不得,本场战斗我方回避降低90%,1,fight_skill_hurt202,990003
713,鬼影迷踪,大幅提升敌方回避500%,1,fight_skill_buff202,990004
714,摸鱼禁止,每隔15秒对我方输出最低的单位造成999点伤害,1,fight_skill_hurt201,990006
715,铁甲肉盾,我方血量最高的单位额外获得50%减伤,1,fight_skill_buff104,990007
716,天谴之人,每隔15秒随机弱化一个人形单位，大幅降低该人形属性（伤害，射速，命中，回避，护甲）50%持续5秒,1,fight_skill_buff204,990009
717,焦土战略,每隔6秒时间向敌人血量最高单位投掷燃烧物，每0.33秒造成100点伤害，持续15秒，范围3*3,1,fight_skill_hurt102,990011
718,坚守阵地,每隔3秒提升我方前排人形回避和护甲10%，最多10层,1,fight_skill_buff103,990013
719,负隅顽抗,每隔15秒时间恢复敌方已损失血量10%的护盾持续6秒,1,fight_skill_buff203,990014
720,钢铁靶机,每隔10秒召唤1组5编，每编1000血的靶机,1,fight_skill_hurt103,990017
721,腹背受敌,每隔6秒在我方梯队前方位置生成1组敌人,1,fight_skill_hurt203,990019
722,越战越勇,我方每次使用技能后下次技能冷却减少20%,1,fight_skill_buff105,756087
723,火力全开,我方全体射速提升100%,1,fight_skill_buff102,756088
724,应急护盾,每隔10秒时间恢复我方已损失血量30%的护盾持续6秒,1,fight_skill_buff104,756089
725,随机打击,每隔10秒随机弱化一个敌方单位，大幅降低该单位属性（伤害，射速，命中，闪避，护甲）降低50%,1,fight_skill_hurt101,756093
726,枪械故障,我方射速降低50%,1,fight_skill_hurt202,756091
727,领袖之风,我方队长伤害、命中、回避、护甲和暴击率提升50%,1,fight_skill_buff101,756114
728,凝神射击,降低我方射速20%但提升我方伤害20%和命中20%,1,fight_skill_buff103,756115
729,应急护盾,每隔10秒时间恢复我方已损失血量30%的护盾持续6秒,1,fight_skill_buff104,756089
730,手枪专精,提升我方手枪人形技能冷却20%,1,fight_skill_buff101,756126
731,冲锋专精,提升我方冲锋枪命中和闪避100%,1,fight_skill_buff101,756127
732,步枪专精,提升我方步枪人形射速和暴击率20%,1,fight_skill_buff101,756128
733,突击专精,提升我方突击步枪人形20%伤害和100%命中,1,fight_skill_buff101,756129
734,霰弹专精,提升我方霰弹人形20%护甲和20%伤害减免,1,fight_skill_buff101,756130
735,机枪专精,增加我方机枪人形15弹链,1,fight_skill_buff101,756131
736,天佑之人,我方人形开场获得自身最大生命值20%护盾持续10秒,1,fight_skill_buff102,756124
737,突击号令,我方全体射速提升50%,1,fight_skill_buff101,756133
738,急速攻击,我方前置冷却时间缩减50%,1,fight_skill_buff101,756134
739,暴怒号令,爆伤提升50%,1,fight_skill_buff102,756135
740,全面出击,每有1种枪种全体提升30%伤害、射速、命中、闪避,1,fight_skill_buff103,756136
741,清除指令,每隔8秒清除我方有益状态,1,fight_skill_hurt201,756144
742,暴击压制,暴击率降低100%,1,fight_skill_buff201,756146
743,信道中断,每次使用技能后技能冷却增加100%,1,fight_skill_buff202,756147
