id,type,child_ids,title,sub_title,code,content,function_control_id,goto_page
100,1,"101,102,103,104,105,106,107,108,109",基地导览,指挥官，请先熟悉一下基地吧~,manual_base,,0,0
101,2,,基地介绍,指挥官，这里就是您的办公室啦。,,"9af7265f733e40b3_draw_200803002.jpg,c4f59f4467e837fd_draw_200803001.jpg",0,0
102,2,,指挥官信息,在这里可以查看您的个人信息和任命副官。,,"9d5937fa170e67f9_draw_200727021.jpg,93cacbb3927ba2e3_draw_200727023.jpg,02b81ba38212c188_draw_200727018.jpg,1ff2a9ededaf4837_draw_200727019.jpg,a3336fdb976462a8_draw_200805001.jpg,4a2965a28dd9828e_draw_200727022.jpg",0,0
103,2,,仓库,在仓库可以查看您拥有的人形、装备和道具等内容。,,2ada711f673bc85b_draw_200727001.jpg,0,252
104,2,,商城,只要是您想要的，都可以在商城买到。,,"9f5c87041de0982c_draw_200727011.jpg,ea0b7d7ec784f470_draw_200727010.jpg",0,2
105,2,,邮件,记得及时查收邮件哦。,,e6051bebf09658a5_draw_200727017.jpg,0,257
106,2,,排行,查看排行榜，向其他指挥官学习吧！,,"f84e1031795f5582_draw_200727004.jpg,cce850bac514cb1f_draw_200727003.jpg",0,253
107,2,,任务,当您不知道该做什么时，就来做任务吧！,,"17d38c55a97915a5_draw_200727009.jpg,ee5672c206020f54_draw_200803004.jpg,7785a0f37c49bb2a_draw_200727007.jpg,1fc796608c1350c7_draw_200727005.jpg,f17b34f04b00142f_draw_200727008.jpg",0,254
108,2,,设置,可以根据您的需要修改游戏内的设置。,,bed0ed56a6112fa6_draw_200727012.jpg,0,255
109,2,,图鉴,不管是人形还是敌人的详细信息都可以在这里查看。,,"4288df4b8b564bc4_draw_200727016.jpg,b17e352a2ecc1075_draw_200727015.jpg,203f9a267926ca97_draw_200727013.jpg,3b4c7b558683715e_draw_200727014.jpg",0,256
200,1,"201,202,203,204,205,206,207,208,209,210,211,212",人形育成,想让战术人形变强，您需要了解的不止是这些。,manual_develop,,0,0
201,2,,人形介绍,了解不同战术人形的特征。,,"0fc4719f8e5ff161_draw_200813001.jpg,067c90ce8684a9f0_draw_200716019.jpg,69aac10091101b60_draw_200716020.jpg",0,0
202,2,,人形获取,获取更多的人形补充梯队战力。,,"fb7c9b266c8506d4_draw_200805002.jpg,f90dc3183d49d4ac_draw_200716015.jpg,af62fa533e41a940_draw_200716018.jpg,1177081657be302e_draw_200716016.jpg,3a3a7d6da885b596_draw_200716017.jpg",0,25
203,2,,人形升级,通过多种途径获取经验，提升人形等级。,,"56ea18e56a4a4f02_draw_210901004.jpg,55d27146db375efc_draw_200716029.jpg,dcdb55c9f6635c0c_draw_200716027.jpg,17a8d2e1bb850a89_draw_200716028.jpg",0,0
204,2,,人形强化,通过人形强化，提升人形属性。,,"8aabb07e078f2848_draw_200716026.jpg,cd2ca4fa4f3e6c91_draw_210812006.jpg",0,7
205,2,,人形修复,请及时修复受创人形。,,"d109f27063d49c18_draw_200720002.jpg,a457ca51fb9b566b_draw_200720001.jpg,95c4246a54fd97df_draw_200720004.jpg,54529c4ac6016c7e_draw_200720003.jpg",0,0
206,2,,编制扩大,人形扩编可提升战力及经验获取量。,,"22d56aebf7ba95d3_draw_200716023.jpg,9cc48ebf07c1acdd_draw_200716024.jpg,ba8450c6c95a5021_draw_210812003.jpg",0,5
207,2,,人形回收,回收人形的武装可获得物资，高稀有度人形还可额外获得替代核心。,,6185b33e82d28643_draw_210812002.jpg,0,63
208,2,,技能训练,善用人形技能也是致胜关键。,,"5e3b3b57fd948643_draw_200716011.jpg,9abc9a6ac5143dd9_draw_200716012.jpg,275cb8c3d8508819_draw_200716013.jpg",0,8
209,2,,好感度,提升与人形好感度，您需要做这些事。,,"216ac99a9525a21f_draw_210901002.jpg,d2d6faf0360fbe83_draw_200716009.jpg,fe2c416619d2a474_draw_200716007.jpg,0dad7e7f2acb503a_draw_200716008.jpg",0,0
210,2,,穿戴特效,虽然没有实际作用，但您的人形更可爱了呢。,,"5e9fe8f1598516ec_draw_210812005.jpg,6e41ead3aa7b7d0d_draw_210812001.jpg",17,0
211,2,,人形装扮,作战之余别忘了给人形添置衣物哦。,,"6667618dd330f30d_draw_200716034.jpg,cd7c81f09ed03ff9_draw_200716031.jpg,3d9f592689ba77fb_draw_200716035.jpg,1dab29eb4006ec94_draw_200814001.jpg,d4e1826ca4425768_draw_200716033.jpg",0,0
212,2,,心智升级,突破人形能力上限。,,"f16912e89a330260_draw_200716036.jpg,71e618d898e2913c_draw_210901003.jpg,c139e33b214a7bee_draw_200716037.jpg",10,186
300,1,"301,302,303,304,305",装备指南,合理搭配装备，提升作战效能。,manural_equip,,2,0
301,2,,装备分类,了解不同装备的特性和适用人形。,,"ac8eb87258b68430_draw_210816001.jpg,359ef6495a7d1cc0_draw_210816002.jpg,eec2a2610fad7140_draw_210816003.jpg,d27150f2e104ae69_draw_210816004.jpg,dfe7d1daef3651c5_draw_210812010.jpg",2,0
302,2,,装备穿戴,合理搭配装备，事半功倍。,,"a4ff114ab0957bf2_draw_200717108.jpg,c63cd18032a10375_draw_200717109.jpg",2,0
303,2,,装备制造,在工厂中，完成装备制造。,,"8a39d7f9e206fd9c_draw_200717103.jpg,5b7633fd0b9abfa5_draw_200717105.jpg,36d612cfeb7f2a3d_draw_200717104.jpg,d66fa647abd6043e_draw_200803006.jpg",2,21
304,2,,装备强化,强化装备，提升属性。,,"8a8f2c769c19868f_draw_210812009.jpg,19ea5d42d25c0ac6_draw_200717107.jpg",5,250
305,2,,装备校准,提供更新装备属性的机会。,,"f7efb60e6d9f396b_draw_200717111.jpg,54375bc347aabbf8_draw_200717110.jpg",6,54
400,1,"401,402,403,404,405,406,407",战术妖精,让战术妖精们加入战斗吧。,manural_fairy,,1,0
401,2,,妖精分类,不同类型的妖精，发挥的作用各不相同。,,fb9e6fda6219c3b7_draw_200717031.jpg,1,0
402,2,,妖精制造,在装备重型建造中获取妖精。,,"36d612cfeb7f2a3d_draw_200717104.jpg,541ea1328cbbecd4_draw_200717045.jpg",1,21
403,2,,妖精升级,妖精也可以通过梯队作战获取经验。,,"6747d9d2c1ccc9ae_draw_200717038.jpg,81596857bf3a3918_draw_200717037.jpg,e3241728e9557367_draw_200717039.jpg",1,0
404,2,,妖精技能,通过技能训练，提升妖精技能。,,"32ce85a153ca8109_draw_200717033.jpg,778ef1121855ab63_draw_200717032.jpg",1,0
405,2,,妖精校准,校准可为妖精提供新的天赋选择。,,"c1236b67ce200863_draw_200717042.jpg,7a58106485c23221_draw_200717043.jpg,fa4f3c38e60febc2_draw_200717044.jpg",1,172
406,2,,妖精强化,强化妖精，使妖精的作用更加显著。,,"75a80578da5b82fe_draw_200717036.jpg,07fd4c8973b5f755_draw_200717034.jpg,1f6e1a0f8486a083_draw_200717035.jpg",1,144
407,2,,妖精小屋,在妖精小屋中，您可以管理妖精相关设施。,,"910c04c047218217_draw_200717040.jpg,4155e6f77edd2c03_draw_200717041.jpg",1,206
500,1,"501,502,503,504,505,506,507,508,509",重装部队,重装部队的出厂，或许能扭转战局。,manural_squad,,15,0
