id,code,ui_image_icon,name,guns,fairy,enemy_team_id,initial_type,ai,ai_content,betray_condition,betray_number,betray_result,transform_condition,transform_number,transform_result,icon,betray_result_enemy,squad,building,enemy_panel_type,is_special_ai,no_battle_damage,duration,sangvis,betray_result_guns,betray_result_sangvis
1,profilePic_AI,ally0,  格里芬,"1,2,3,4,5",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
2,profilePic_AI,ally0,  格里芬,"6,7,8,9,10",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
3,profilePic_AI,ally0,  格里芬,"11,12,13,14,15",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
4,profilePic_AI,ally0,  格里芬,"16,17,18,19,20",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
7,profilePic_AI,ally0,  格里芬,"21,22,23,24,25",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
8,profilePic_AI,ally0,  格里芬,"26,27,28,29,30",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
9,profilePic_AI,ally0,  格里芬,"31,32,33,34,35",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
10,profilePic_AI,ally0,  格里芬,"36,37,38,39,40",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
11,profilePic_AI,ally0,  格里芬,"41,42,43,44,45",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
12,profilePic_AI,ally0,  格里芬,"46,47,48,49,50",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
13,profilePic_AI,ally0,  格里芬,"51,52,53,54,55",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
14,profilePic_AI,ally0,  格里芬,"56,57,58,59,60",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
15,profilePic_AI,ally0,  格里芬,"61,62,63,64,65",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
16,profilePic_AI,ally0,  格里芬,"66,67,68,69,70",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
17,profilePic_AI,ally0,  格里芬,"71,72,73,74,75",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
18,profilePic_AI,ally0,  格里芬,"76,77,78,79,80",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
19,profilePic_AI,ally0,  格里芬,"81,82,83,84,85",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
20,profilePic_AI,ally0,  格里芬,"86,87,88,89,90",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
21,profilePic_AI,ally0,  格里芬,"91,92,93,94,95",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
22,profilePic_AI,ally0,  格里芬,"96,97,98,99,100",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
23,profilePic_AI,ally0,  格里芬,"101,102,103,104,105",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
24,profilePic_AI,ally0,  格里芬,"106,107,108,109,110",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
25,profilePic_AI,ally0,  格里芬,"111,112,113,114,115",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
26,profilePic_AI,ally0,  格里芬,"116,117,118,119,120",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
27,profilePic_AI,ally0,  格里芬,"121,122,123,124,125",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
28,profilePic_AI,ally0,  格里芬,"126,127,128,129,130",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
29,profilePic_AI,ally0,  格里芬,"131,132,133,134,135",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
30,profilePic_AI,ally0,  格里芬,"136,137,138,139,140",0,1486,1,103;1;103,0;0;0,0,0,0,0,0,0,,,0,0,1,0,-1,0,,,
