id,type,motion_name,touch_area,hold_time,probability,voice,text,expression,face_motion,name,camera,is_hurt,level,is_interrupt,delay,next_motions,voice_code
306,101,motions/idle.mtn,0,0,1.0,,,,,,0,0,0,0,0,,
307,101,motions/daiji.mtn,0,0,1.0,,,,,,0,0,0,0,0,,
308,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,,0,0,0,0,0,,
501,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,0,0,0,0,,
502,102,motions/wait_1.mtn,0,"8,12",0.5,,,,,特殊待机1,1,0,0,0,0,,
503,102,motions/wait_2.mtn,0,"10,13",0.5,GUN|M1903|DIALOGUE3,GUN|M1903|DIALOGUE3,,,特殊待机2,1,0,0,0,0,,DIALOGUE3
504,200,motions/touch_1.mtn,head,0,1.0,GUN|M1903|ALLHALLOWS,GUN|M1903|ALLHALLOWS,,,交互1,1,0,0,0,0,,ALLHALLOWS
505,200,motions/touch_2.mtn,body,0,1.0,GUN|M1903|MOOD2,GUN|M1903|MOOD2,,,交互2,1,0,0,0,0,,MOOD2
506,200,motions/touch_3.mtn,body,0,1.0,GUN|M1903|DIALOGUE1,GUN|M1903|DIALOGUE1,,,交互3,1,0,0,0,0,,DIALOGUE1
507,200,motions/touch_4.mtn,leg,0,1.0,GUN|M1903|PHRASE,GUN|M1903|PHRASE,,,交互4,1,0,0,0,0,,PHRASE
508,200,motions/touch_5.mtn,leg,0,1.0,GUN|M1903|DIALOGUE2,GUN|M1903|DIALOGUE2,,,交互5,1,0,0,0,0,,DIALOGUE2
509,500,motions/wedding.mtn,0,0,1.0,GUN|M1903|SOULCONTRACT,GUN|M1903|SOULCONTRACT,,,结契动作,1,0,0,0,0,,SOULCONTRACT
510,300,motions/shake.mtn,0,0,1.0,,,,,晃动响应,1,0,0,0,0,,
511,1000,motions/login.mtn,0,0,1.0,GUN|M1903|HELLO,GUN|M1903|HELLO,,,上线响应,1,0,0,0,0,,HELLO
512,401,motions/daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,1,0,0,0,,
513,402,motions/broken_1.mtn,body,0,1.0,GUN|M1903|ALLHALLOWS,GUN|M1903|ALLHALLOWS,,,交互1,1,1,0,0,0,,ALLHALLOWS
514,402,motions/broken_2.mtn,body,0,1.0,GUN|M1903|MOOD2,GUN|M1903|MOOD2,,,交互2,1,1,0,0,0,,MOOD2
515,402,motions/broken_3.mtn,body,0,1.0,GUN|M1903|DIALOGUE1,GUN|M1903|DIALOGUE1,,,交互3,1,1,0,0,0,,DIALOGUE1
516,402,motions/broken_4.mtn,body,0,1.0,GUN|M1903|PHRASE,GUN|M1903|PHRASE,,,交互4,1,1,0,0,0,,PHRASE
517,402,motions/broken_5.mtn,body,0,1.0,GUN|M1903|DIALOGUE2,GUN|M1903|DIALOGUE2,,,交互5,1,1,0,0,0,,DIALOGUE2
518,403,motions/wait_1.mtn,0,"10,12",0.5,,,,,特殊待机,1,1,0,0,0,,
519,1001,motions/login.mtn,0,0,1.0,GUN|M1903|HELLO,GUN|M1903|HELLO,,,上线响应,1,1,0,0,0,,HELLO
601,101,motions/daiji_idle_01.mtn,0,0,1.0,,,,,待机,0,0,0,0,0,,
602,102,motions/wait_1.mtn,0,"8,12",0.5,,,,,特殊待机1,1,0,0,0,0,,
603,102,motions/wait_2.mtn,0,"10,13",0.5,,,,,特殊待机2,1,0,0,0,0,,
604,200,motions/touch_1.mtn,body,0,1.0,GUN|WA2000|DIALOGUE1,GUN|WA2000|DIALOGUE1,,,交互1,1,0,0,0,0,,DIALOGUE1
