id,mapped_missions
31001,"10196,10254"
31002,"10199,10255"
31003,"10206,10256"
31004,"10208,10257"
31005,"10210,10258"
31006,"10211,10259"
31007,"10214,10260"
31008,"10217,10261"
31009,"10221,10262"
31010,"10223,10263"
31011,"10225,10264"
31012,"10228,10265"
31013,"10231,10266"
31014,"10233,10267"
31015,"10236,10268"
31016,"10238,10269"
31017,"10239,10270"
31018,"10245,10271"
31019,"10249,10272"
31020,"10253,10273"
31021,"10247,10275"
31022,"10248,10276"
32001,"10277,10980,10285"
32002,"10278,10981,10286"
32003,"10279,10982,10287"
32004,"10280,10983,10288"
32005,"10281,10984,10289"
32006,"10282,10985,10290"
32007,"10283,10986,10291"
32008,"10284,10987,10292"
32009,"10285,10285"
32010,"10286,10286"
32011,"10287,10287"
32012,"10288,10288"
32013,"10289,10289"
32014,"10290,10290"
32015,"10291,10291"
32016,"10292,10292"
32017,"10293,10293"
33001,"10295,10343"
33002,"10299,10344"
33003,"10301,10345"
33004,"10303,10346"
33005,"10305,10347"
33006,"10307,10348"
33007,"10309,10349"
33008,"10312,10350"
33009,"10314,10351"
33010,"10317,10352"
33011,"10321,10353"
33012,"10323,10354"
33013,"10325,10355"
33014,"10327,10356"
33015,"10329,10357"
33016,"10331,10358"
33017,"10332,10359"
33018,"10334,10360"
33020,"10337,10362"
33021,"10339,10363"
33022,"10340,10364"
33023,"10342,10365"
38001,"10486,10499"
38002,"10488,10500"
38003,"10490,10501"
38004,"10492,10502"
38005,"10495,10503"
41001,"10510,10515"
41002,"10511,10516"
41003,"10512,10517"
41004,"10513,10518"
41005,"10514,10519"
43001,"10597,10608"
43002,"10598,10609"
43003,"10599,10610"
43004,"10600,10611"
43005,"10601,10612"
44001,"10633,10649"
44002,"10634,10650"
44003,"10635,10651"
44004,"10636,10652"
44005,"10637,10653"
44006,"10638,10654"
44007,"10639,10655"
44008,"10640,10656"
44009,"10641,10657"
44010,"10642,10658"
44011,"10643,10659"
44012,"10644,10660"
44013,"10645,10661"
44014,"10646,10662"
44015,"10647,10663"
44016,"10648,10664"
44017,"10676,10677"
44018,"10678,10679"
44019,"10680,10681"
44020,"10682,10683"
46001,"10768,10773"
46002,"10769,10774"
46003,"10770,10775"
46004,"10771,10776"
46005,"10772,10777"
46006,"10778,10779"
48001,"10802,10825"
48002,"10804,10826"
48003,"10805,10827"
48004,"10806,10828"
48005,"10808,10829"
48006,"10809,10830"
48007,"10811,10831"
48008,"10812,10832"
48009,"10847,10848"
48010,"10849,10850"
48011,"10813,10833"
48012,"10815,10834"
48013,"10816,10835"
48014,"10817,10836"
48015,"10818,10837"
48016,"10819,10838"
48017,"10820,10839"
48018,"10821,10840"
48019,"10822,10841"
48020,"10824,10842"
51001,"11016,11027,11037"
51002,"11017,11028,11038"
51003,"11018,11029,11039"
51004,"11019,11030,11040"
51005,"11020,11031,11041"
51006,"11021,11032,11042"
51007,"11022,11033,11043"
51008,"11023,11034,11044"
51009,"11024,11035,11045"
51010,"11026,11036,11046"
