id,item_id
1,0
2,0
3,0
4,0
10051,0
10052,0
10053,0
10054,0
10055,0
10056,0
10057,0
10058,0
10059,0
10060,0
10061,0
10062,0
10063,0
10064,0
10065,0
10066,0
10067,0
10068,0
10069,0
10070,0
10071,0
10072,0
10073,0
10074,0
10075,0
10076,0
10077,0
10078,0
10079,0
10080,0
10081,0
10082,0
10083,0
10084,0
10085,0
10086,0
10087,0
10092,0
10108,0
10109,0
10111,0
10113,0
10114,0
10115,0
10116,0
10117,0
10118,0
10120,0
10122,0
10125,0
10127,0
10128,0
10129,0
10131,0
10138,0
10140,0
10141,0
10142,0
10143,0
10144,0
101061,0
101062,0
1011001,0
1011002,0
1012101,0
1012102,0
1012301,0
1012302,0
1012401,0
1012402,0
1012601,0
1013001,0
1013002,0
1013003,0
1013201,0
1013202,0
1013301,0
1013401,0
1013402,0
1013501,0
1013502,0
1013701,0
1013702,0
1013901,0
1013902,0
1014201,0
1014202,0
1019400,0
1019500,0
1019600,0
1019700,0
1019800,0
1019900,0
1020000,0
1020100,0
1020200,0
1020300,0
1020400,0
1020500,0
1020600,0
1020700,0
1020800,0
1020900,0
1021000,0
1021100,0
1021200,0
1021300,0
1021400,0
1021500,0
1021600,0
1021700,0
1021800,0
1021900,0
1022000,0
1022100,0
1022200,0
1022300,0
1022400,0
1022500,0
1022600,0
1022700,0
1022800,0
1022900,0
1023000,0
1023100,0
1023200,0
1023300,0
1023400,0
1023500,0
1023600,0
1023700,0
1023800,0
1023900,0
1024000,0
1024100,0
1024200,0
1024300,0
1024400,0
1024500,0
1024600,0
1024700,0
1024800,0
1024900,0
1025000,0
1025100,0
1025200,0
1025300,0
1027400,0
1027700,0
1027800,0
1027900,0
1027901,0
1028000,0
1028100,0
1028200,0
1028201,0
1028300,0
1028400,0
1028401,0
1028500,0
1028600,0
1028700,0
1028800,0
1028900,0
1029000,0
1029100,0
1029200,0
